text,label,source
Comments for video: 7433779167948197152,,
"Please Lord, bless me with just one quintillion🥺",,Tiktok
who have one quintillion money? 💀,,Tiktok
Need one Quintillion dollars right now.,,Tiktok
How to be a Quintillionaire 🥺?,,Tiktok
"one quintillion,that realy😂😂",,Tiktok
I have One quintillion in my account,,Tiktok
i will have one quintillion in Jesus name amen,,Tiktok
what's after quintillion,,Tiktok
roblox players know that,,Tiktok
who has it? one quintillion😳,,Tiktok
bros saying my bank account,,Tiktok
I just want a small loan of one quintillion,,Tiktok
I want more than one quintillion 😞🤲🏼,,Tiktok
i need one quintillion of money 😳,,Tiktok
":one quintillion,that realy insha Allah",,Tiktok
What's after quintillion?,,Tiktok
I wanna be a Billionaire!😳😂,,Tiktok
Where is zillion ???😂,,Tiktok
Am I the only one who thought after a billion was a zillion? 😭,,Tiktok
the,,Tiktok
how about cecilionn 🤔🤣,,Tiktok
Wait theres no GAZZILION?!?😳,,Tiktok
next video is ad,,Tiktok
"im worth 100,000,000,000,000,000 quintillion",,Tiktok
what about Zillions ??,,Tiktok
does money like quintillion exist first time of hearing this,,Tiktok
My net worth is 100 quadrillion,,Tiktok
wait then what's zillion😔,,Tiktok
i beg only one quintillion,,Tiktok
God when I go reach last number 🤲,,Tiktok
How about one zillion ?😳,,Tiktok
I will reach quintillion before my 25 years InshAllah 🤲🏻,,Tiktok
So shall my account grow in 2025 ✌️,,Tiktok
I will soon be a Quintillionair in Jesus name 🙏🏾🙏🏾,,Tiktok
"I wanna be a quadrillioneir, that will be well with my soul.",,Tiktok
After trillion I continued saying killion🤓,,Tiktok
Which one come be 1 Zillion?,,Tiktok
I am in top🤘🏻 One,,Tiktok
I have 1 quintillion dollars ‘’without the quintillion’’,,Tiktok
na the last one i dey find 🥲,,Tiktok
Me saying a thousand million 😭😩,,Tiktok
who said zillion with me??? 😭😂😂😂😂,,Tiktok
Where I con hear zillion from ?,,Tiktok
who's watching on 6 November 😂,,Tiktok
Has any one reached the last one in the world yet?,,Tiktok
my net worth 1000,,Tiktok
lord bless me with just 1 quintillion 😊😊,,Tiktok
"After a hundred thousand, I said a thousand thousands 😂😂 shame on me 🤔🤦",,Tiktok
100 million! I claim it in Jesus name🙏,,Tiktok
The amount wey I find no dey here 😞,,Tiktok
is there anyone higher than that Quintillion I on my way to go do ritual 🚶🏃,,Tiktok
Na that one quintillion I Dey find 😩,,Tiktok
Kanti which one is drillion?? 😫,,Tiktok
wow then decillion is huge😅,,Tiktok
too funny how the richest man in the world holds billions,,Tiktok
"nice, now put the last one in my bank account",,Tiktok
quin what?????🤣🤣🤣,,Tiktok
One Quintillion is all I ask for,,Tiktok
Na that last one wey you mention I dey ask God for,,Tiktok
cool,,Tiktok
we have gangallion here in Nigeria 😅,,Tiktok
So nothing like uncountable million 😂 childhood memories sha 😂,,Tiktok
I wan be the first quintillionaire😂,,Tiktok
Where is the bazillion,,Tiktok
"Please Lord, bless me with just one quintillion🥺",,Tiktok
"What is the highest value of money?, apart from quintillion",,Tiktok
no one noticed this is ai,,Tiktok
Quintillion keh that means we have a long way to go ooh God..🙏🏿🥺🥲,,Tiktok
…annnd that’s how much Mr Musk is worth,,Tiktok
please God bless me with one quadrillion 🙏🙏🙏🙏🙏🙏,,Tiktok
person wey teach us zillion and trillion go explain when we catch am 😂,,Tiktok
Ten thousandnair ✋your hand,,Tiktok
one🤨 ten🤨 one hundred🤨,,Tiktok
Teamwork,,Tiktok
I know everything from roblox😭😭🙏🏻🙏🏻,,Tiktok
who con teach me zillion because na wetin I dey hear from small o,,Tiktok
I want 2 be 0ne quintillion rich God[angel][angel][cry][cry][cry][cry],,Tiktok
Who told bro how much money I have,,Tiktok
Uncountable million 🙂😂,,Tiktok
guys that taught money👇,,Tiktok
what of zillion,,Tiktok
How much Russia fine google again??,,Tiktok
